transaction_id,date,n_items,items
T00489,2025-02-12,2,"Cheese, Wine"
T00490,2025-02-28,1,Apples
T00491,2025-04-12,1,Tea
T00492,2025-04-26,4,"Bananas, Garlic, Parmesan, Pasta"
T00493,2025-01-17,4,"Milk, Parmesan, Tomatoes, Yogurt"
T00494,2025-01-22,3,"Apples, Baby Wipes, Diapers"
T00495,2025-01-09,2,"Cheese, Yogurt"
T00496,2025-05-21,2,"Soda, Tomatoes"
T00497,2025-05-25,1,Tomatoes
T00498,2025-05-19,1,Eggs
T00499,2025-03-08,2,"Bread, Butter"
T00500,2025-05-06,3,"Apples, Bread, Yogurt"
T00501,2025-04-22,2,"Jam, Pasta"
T00502,2025-06-06,3,"Apples, Cereal, Chicken Breast"
T00503,2025-06-13,3,"Bread, Sugar, Tea"
T00504,2025-01-27,2,"Coffee, Eggs"
T00505,2025-04-18,1,Yogurt
T00506,2025-01-09,3,"Coffee, Garlic, Sugar"
T00507,2025-04-08,4,"Bananas, Butter, Cereal, Milk"
T00508,2025-02-23,1,Apples
T00509,2025-01-11,3,"Garlic, Soda, Tomatoes"
T00510,2025-06-20,2,"Bananas, Ground Beef"
T00511,2025-03-12,4,"Bananas, Cereal, Diapers, Milk"
T00512,2025-06-08,2,"Milk, Wine"
T00513,2025-01-28,2,"Cereal, Milk"
T00514,2025-02-19,3,"Baby Wipes, Beer, Diapers"
T00515,2025-06-28,2,"Lettuce, Tomato Sauce"
T00516,2025-06-03,5,"Eggs, Parmesan, Pasta, Tomato Sauce, Tomatoes"
T00517,2025-06-08,3,"Cereal, Cheese, Rice"
T00518,2025-05-22,1,Apples
T00519,2025-01-29,1,Eggs
T00520,2025-01-09,2,"Butter, Yogurt"
T00521,2025-06-18,1,Rice
T00522,2025-04-04,2,"Eggs, Yogurt"
T00523,2025-01-21,1,Milk
T00524,2025-04-17,3,"Chicken Breast, Milk, Rice"
T00525,2025-01-26,4,"Baby Wipes, Diapers, Tomatoes, Wine"
T00526,2025-06-13,4,"Cheese, Milk, Tea, Wine"
T00527,2025-03-22,3,"Cheese, Chips, Salsa"
T00528,2025-04-07,4,"Chicken Breast, Chips, Rice, Soda"
T00529,2025-03-18,3,"Beer, Bread, Cheese"
T00530,2025-02-09,3,"Chips, Soda, Tea"
T00531,2025-01-20,3,"Pasta, Tomato Sauce, Yogurt"
T00532,2025-05-28,1,Milk
T00533,2025-04-22,1,Bananas
T00534,2025-06-17,5,"Baby Wipes, Bread, Butter, Diapers, Milk"
T00535,2025-05-28,6,"Bananas, Cereal, Cheese, Milk, Parmesan, Wine"
T00536,2025-02-04,3,"Beer, Chips, Soda"
T00537,2025-03-10,3,"Cheese, Diapers, Lettuce"
T00538,2025-03-30,4,"Apples, Bread, Butter, Jam"
T00539,2025-06-25,2,"Butter, Eggs"
T00540,2025-02-07,5,"Apples, Bread, Cereal, Cheese, Jam"
T00541,2025-06-09,6,"Baby Wipes, Bread, Butter, Coffee, Milk, Sugar"
T00542,2025-06-18,2,"Bananas, Chicken Breast"
T00543,2025-04-08,2,"Bananas, Cheese"
T00544,2025-02-20,4,"Beer, Milk, Tea, Tomatoes"
T00545,2025-06-25,2,"Apples, Beer"
T00546,2025-03-07,6,"Bread, Butter, Chicken Breast, Jam, Rice, Tomatoes"
T00547,2025-03-21,4,"Cheese, Sugar, Tea, Tomatoes"
T00548,2025-05-15,6,"Coffee, Milk, Pasta, Sugar, Tomato Sauce, Wine"
T00549,2025-03-12,3,"Beer, Chips, Salsa"
T00550,2025-03-01,4,"Bread, Butter, Cereal, Milk"
T00551,2025-02-19,3,"Ground Beef, Parmesan, Wine"
T00552,2025-02-22,1,Tea
T00553,2025-03-05,1,Milk
T00554,2025-03-22,1,Lettuce
T00555,2025-01-10,3,"Milk, Rice, Tea"
T00556,2025-05-23,2,"Milk, Onions"
T00557,2025-03-15,2,"Cheese, Wine"
T00558,2025-06-15,2,"Apples, Soda"
T00559,2025-05-20,3,"Cheese, Parmesan, Wine"
T00560,2025-01-24,3,"Garlic, Parmesan, Pasta"
T00561,2025-05-11,6,"Baby Wipes, Diapers, Garlic, Parmesan, Pasta, Tomato Sauce"
T00562,2025-04-25,4,"Garlic, Parmesan, Pasta, Tomato Sauce"
T00563,2025-01-02,3,"Cereal, Milk, Yogurt"
T00564,2025-05-21,1,Tomatoes
T00565,2025-02-17,2,"Chips, Salsa"
T00566,2025-01-23,3,"Diapers, Parmesan, Wine"
T00567,2025-02-15,5,"Chips, Lettuce, Milk, Salsa, Soda"
T00568,2025-02-04,3,"Cereal, Chicken Breast, Rice"
T00569,2025-06-11,2,"Eggs, Yogurt"
T00570,2025-03-15,2,"Cheese, Salsa"
T00571,2025-02-03,2,"Soda, Yogurt"
T00572,2025-06-06,1,Apples
T00573,2025-01-07,1,Bananas
T00574,2025-06-07,3,"Cheese, Milk, Wine"
T00575,2025-03-20,1,Tomatoes
T00576,2025-06-25,3,"Baby Wipes, Cheese, Diapers"
T00577,2025-05-03,4,"Coffee, Milk, Sugar, Yogurt"
T00578,2025-01-15,2,"Apples, Lettuce"
T00579,2025-02-23,4,"Cheese, Chips, Salsa, Soda"
T00580,2025-06-05,2,"Lettuce, Rice"
T00581,2025-03-22,4,"Cheese, Chicken Breast, Rice, Wine"
T00582,2025-02-21,5,"Bread, Milk, Soda, Sugar, Tea"
T00583,2025-05-13,3,"Beer, Coffee, Yogurt"
T00584,2025-03-27,2,"Apples, Milk"
T00585,2025-05-28,4,"Beer, Cheese, Chips, Salsa"
T00586,2025-01-30,1,Rice
T00587,2025-05-19,2,"Baby Wipes, Cheese"
T00588,2025-02-13,1,Rice
T00589,2025-01-13,1,Yogurt
T00590,2025-04-09,2,"Cheese, Wine"
T00591,2025-04-25,2,"Apples, Cheese"
T00592,2025-05-17,2,"Milk, Tea"
T00593,2025-03-21,4,"Milk, Sugar, Tea, Yogurt"
T00594,2025-06-20,1,Cheese
T00595,2025-05-02,1,Yogurt
T00596,2025-03-31,3,"Coffee, Soda, Sugar"
T00597,2025-05-17,1,Lettuce
T00598,2025-05-21,1,Yogurt
T00599,2025-06-27,3,"Diapers, Lettuce, Wine"
T00600,2025-05-05,1,Rice
T00601,2025-04-24,3,"Baby Wipes, Beer, Diapers"
T00602,2025-06-19,1,Beer
T00603,2025-01-01,3,"Coffee, Milk, Tea"
T00604,2025-03-19,4,"Cheese, Chips, Eggs, Wine"
T00605,2025-05-24,3,"Baby Wipes, Bananas, Chips"
T00606,2025-04-14,2,"Cheese, Tomatoes"
T00607,2025-04-09,5,"Bread, Chips, Parmesan, Salsa, Wine"
T00608,2025-02-05,2,"Tea, Wine"
T00609,2025-04-09,3,"Parmesan, Pasta, Tomato Sauce"
T00610,2025-05-28,1,Milk
T00611,2025-01-29,2,"Coffee, Eggs"
T00612,2025-05-13,2,"Garlic, Rice"
T00613,2025-06-21,1,Tomatoes
T00614,2025-01-14,4,"Bread, Butter, Tomatoes, Yogurt"
T00615,2025-06-27,5,"Apples, Butter, Chicken Breast, Lettuce, Rice"
T00616,2025-02-02,3,"Chicken Breast, Lettuce, Rice"
T00617,2025-06-01,3,"Chips, Soda, Tea"
T00618,2025-02-07,3,"Coffee, Milk, Yogurt"
T00619,2025-05-28,3,"Cheese, Chips, Milk"
T00620,2025-05-17,3,"Baby Wipes, Beer, Diapers"
T00621,2025-06-23,1,Soda
T00622,2025-05-17,5,"Cheese, Chicken Breast, Lettuce, Rice, Wine"
T00623,2025-03-28,4,"Cheese, Milk, Pasta, Tomato Sauce"
T00624,2025-03-06,3,"Bread, Butter, Jam"
T00625,2025-01-31,2,"Diapers, Rice"
T00626,2025-02-17,5,"Apples, Chicken Breast, Lettuce, Pasta, Tomato Sauce"
T00627,2025-01-16,1,Cheese
T00628,2025-03-09,1,Eggs
T00629,2025-06-06,2,"Chips, Yogurt"
T00630,2025-06-14,3,"Milk, Salsa, Tea"
T00631,2025-05-08,2,"Bread, Milk"
T00632,2025-05-12,2,"Rice, Yogurt"
T00633,2025-01-18,3,"Baby Wipes, Bread, Diapers"
T00634,2025-06-15,1,Tomatoes
T00635,2025-04-28,4,"Apples, Beer, Chips, Salsa"
T00636,2025-04-02,3,"Bananas, Milk, Tea"
T00637,2025-05-19,2,"Tomatoes, Yogurt"
T00638,2025-01-05,1,Milk
T00639,2025-04-14,1,Soda
T00640,2025-05-18,2,"Jam, Lettuce"
T00641,2025-06-17,2,"Baby Wipes, Rice"
T00642,2025-06-11,1,Apples
T00643,2025-06-06,2,"Lettuce, Tomatoes"
T00644,2025-06-07,2,"Beer, Chips"
T00645,2025-06-25,2,"Cheese, Coffee"
T00646,2025-01-31,3,"Cheese, Coffee, Wine"
T00647,2025-06-11,5,"Baby Wipes, Bread, Garlic, Parmesan, Pasta"
T00648,2025-05-14,2,"Cereal, Cheese"
T00649,2025-01-23,4,"Apples, Beer, Chips, Salsa"
T00650,2025-05-10,3,"Beer, Chips, Salsa"
T00651,2025-02-15,2,"Milk, Tomato Sauce"
T00652,2025-03-27,3,"Milk, Sugar, Tea"
T00653,2025-01-19,4,"Cheese, Lettuce, Sugar, Tea"
T00654,2025-04-16,5,"Beer, Cereal, Diapers, Eggs, Milk"
T00655,2025-03-11,3,"Coffee, Milk, Sugar"
T00656,2025-03-29,1,Apples
T00657,2025-06-13,4,"Lettuce, Parmesan, Pasta, Tomatoes"
T00658,2025-04-20,3,"Cereal, Milk, Rice"
T00659,2025-01-02,2,"Garlic, Milk"
T00660,2025-04-19,2,"Bananas, Yogurt"
T00661,2025-01-04,5,"Beer, Chips, Parmesan, Salsa, Wine"
T00662,2025-04-27,2,"Coffee, Milk"
T00663,2025-06-12,1,Eggs
T00664,2025-05-16,1,Wine
T00665,2025-02-23,2,"Cheese, Eggs"
T00666,2025-06-22,2,"Milk, Tomato Sauce"
T00667,2025-04-04,1,Tomatoes
T00668,2025-02-22,2,"Cheese, Milk"
T00669,2025-05-29,8,"Bananas, Beer, Cereal, Cheese, Chips, Milk, Salsa, Tomato Sauce"
T00670,2025-04-05,3,"Beer, Eggs, Rice"
T00671,2025-02-12,2,"Coffee, Sugar"
T00672,2025-06-24,4,"Coffee, Milk, Sugar, Yogurt"
T00673,2025-05-14,3,"Cheese, Lettuce, Wine"
T00674,2025-04-24,1,Lettuce
T00675,2025-03-08,2,"Chips, Tomato Sauce"
T00676,2025-06-08,3,"Apples, Pasta, Tomatoes"
T00677,2025-03-23,4,"Chicken Breast, Milk, Sugar, Tea"
T00678,2025-02-01,4,"Coffee, Diapers, Sugar, Yogurt"
T00679,2025-05-27,4,"Lettuce, Milk, Sugar, Tea"
T00680,2025-06-08,5,"Chips, Salsa, Soda, Tea, Yogurt"
T00681,2025-01-23,4,"Beer, Chips, Diapers, Yogurt"
T00682,2025-03-14,1,Apples
T00683,2025-01-23,1,Tea
T00684,2025-04-19,3,"Cheese, Coffee, Wine"
T00685,2025-06-01,3,"Bread, Butter, Eggs"
T00686,2025-02-17,2,"Apples, Tomatoes"
T00687,2025-05-30,1,Tomatoes
T00688,2025-01-01,1,Apples
T00689,2025-05-01,1,Apples
T00690,2025-06-26,2,"Bananas, Bread"
T00691,2025-04-22,4,"Bananas, Chips, Salsa, Yogurt"
T00692,2025-02-04,2,"Ground Beef, Milk"
T00693,2025-01-13,1,Soda
T00694,2025-02-19,4,"Bananas, Parmesan, Pasta, Tomato Sauce"
T00695,2025-04-03,1,Lettuce
T00696,2025-02-05,4,"Cereal, Chips, Salsa, Yogurt"
T00697,2025-06-07,2,"Soda, Tomatoes"
T00698,2025-04-17,1,Eggs
T00699,2025-05-03,3,"Chips, Salsa, Soda"
T00700,2025-03-19,2,"Bananas, Chicken Breast"
T00701,2025-03-20,2,"Coffee, Milk"
T00702,2025-05-04,3,"Beer, Chips, Milk"
T00703,2025-01-17,2,"Bread, Rice"
T00704,2025-01-08,2,"Beer, Chicken Breast"
T00705,2025-05-10,2,"Bananas, Lettuce"
T00706,2025-03-14,2,"Bananas, Tomatoes"
T00707,2025-05-10,7,"Chips, Coffee, Parmesan, Pasta, Salsa, Tomato Sauce, Yogurt"
T00708,2025-03-15,2,"Eggs, Milk"
T00709,2025-06-03,5,"Bananas, Cereal, Milk, Tea, Tomatoes"
T00710,2025-06-22,2,"Parmesan, Tea"
T00711,2025-01-27,5,"Eggs, Garlic, Parmesan, Pasta, Tomato Sauce"
T00712,2025-05-29,5,"Apples, Baby Wipes, Chips, Diapers, Salsa"
T00713,2025-01-08,1,Milk
T00714,2025-01-07,4,"Baby Wipes, Cheese, Coffee, Diapers"
T00715,2025-05-10,1,Cheese
T00716,2025-01-05,4,"Bananas, Cheese, Milk, Wine"
T00717,2025-03-19,5,"Cheese, Pasta, Tomato Sauce, Wine, Yogurt"
T00718,2025-04-11,1,Lettuce
T00719,2025-04-01,3,"Apples, Cheese, Salsa"
T00720,2025-05-30,1,Cheese
T00721,2025-04-02,1,Milk
T00722,2025-06-15,1,Eggs
T00723,2025-03-20,3,"Parmesan, Pasta, Tomato Sauce"
T00724,2025-06-28,2,"Bread, Jam"
T00725,2025-06-22,1,Yogurt
T00726,2025-03-28,1,Apples
T00727,2025-05-08,3,"Eggs, Sugar, Tomatoes"
T00728,2025-02-27,3,"Eggs, Lettuce, Pasta"
T00729,2025-04-20,1,Eggs
T00730,2025-03-18,1,Tomatoes
T00731,2025-03-06,4,"Milk, Sugar, Tea, Tomatoes"
T00732,2025-04-30,1,Tomatoes
T00733,2025-04-22,6,"Beer, Chips, Diapers, Milk, Salsa, Soda"
T00734,2025-04-16,1,Apples
T00735,2025-06-03,4,"Bananas, Cereal, Milk, Tomatoes"
T00736,2025-01-10,3,"Chicken Breast, Lettuce, Rice"
T00737,2025-05-05,2,"Eggs, Milk"
T00738,2025-04-15,5,"Baby Wipes, Coffee, Diapers, Eggs, Milk"
T00739,2025-06-03,1,Cheese
T00740,2025-04-10,5,"Bananas, Cereal, Cheese, Milk, Wine"
T00741,2025-05-20,1,Cereal
T00742,2025-04-05,2,"Bread, Milk"
T00743,2025-05-22,1,Chips
T00744,2025-04-24,1,Diapers
T00745,2025-03-02,1,Pasta
T00746,2025-01-09,1,Eggs
T00747,2025-05-01,2,"Cheese, Wine"
T00748,2025-04-01,1,Tomatoes
T00749,2025-01-08,4,"Cheese, Parmesan, Pasta, Tea"
T00750,2025-02-03,2,"Cheese, Wine"
T00751,2025-03-14,2,"Cheese, Wine"
T00752,2025-01-06,4,"Bananas, Cereal, Eggs, Tomatoes"
T00753,2025-01-23,4,"Bananas, Lettuce, Pasta, Tomato Sauce"
T00754,2025-03-10,1,Yogurt
T00755,2025-02-22,4,"Apples, Beer, Chips, Tea"
T00756,2025-05-30,4,"Eggs, Milk, Sugar, Tea"
T00757,2025-06-02,1,Bananas
T00758,2025-03-02,1,Chips
T00759,2025-01-12,1,Soda
T00760,2025-04-12,5,"Coffee, Garlic, Milk, Sugar, Tomatoes"
T00761,2025-02-06,2,"Cheese, Eggs"
T00762,2025-03-13,2,"Apples, Wine"
T00763,2025-04-22,3,"Cheese, Coffee, Yogurt"
T00764,2025-02-16,2,"Chicken Breast, Rice"
T00765,2025-04-02,3,"Tea, Tomatoes, Yogurt"
T00766,2025-02-16,3,"Bread, Chicken Breast, Soda"
T00767,2025-01-20,1,Yogurt
T00768,2025-01-07,1,Bananas
T00769,2025-01-28,4,"Bread, Butter, Coffee, Sugar"
T00770,2025-03-25,4,"Beer, Chips, Coffee, Lettuce"
T00771,2025-03-03,5,"Baby Wipes, Bread, Diapers, Eggs, Jam"
T00772,2025-06-25,2,"Bananas, Chips"
T00773,2025-05-25,2,"Eggs, Wine"
T00774,2025-03-29,6,"Cereal, Coffee, Lettuce, Milk, Sugar, Yogurt"
T00775,2025-03-17,2,"Eggs, Tomatoes"
T00776,2025-04-16,1,Lettuce
T00777,2025-05-30,2,"Bananas, Soda"
T00778,2025-02-16,2,"Eggs, Milk"
T00779,2025-04-27,5,"Chicken Breast, Lettuce, Soda, Sugar, Tea"
T00780,2025-01-04,1,Yogurt
T00781,2025-06-18,3,"Apples, Rice, Yogurt"
T00782,2025-06-26,3,"Apples, Bread, Eggs"
T00783,2025-02-18,4,"Beer, Coffee, Tea, Yogurt"
T00784,2025-02-09,2,"Tea, Yogurt"
T00785,2025-04-11,2,"Bread, Butter"
T00786,2025-05-22,4,"Baby Wipes, Diapers, Milk, Yogurt"
T00787,2025-05-16,1,Lettuce
T00788,2025-06-15,2,"Soda, Yogurt"
T00789,2025-06-28,4,"Coffee, Parmesan, Pasta, Tomato Sauce"
T00790,2025-06-18,1,Apples
T00791,2025-04-17,2,"Chips, Yogurt"
T00792,2025-06-20,3,"Garlic, Pasta, Tomato Sauce"
T00793,2025-01-13,4,"Chicken Breast, Chips, Rice, Soda"
T00794,2025-05-05,1,Cheese
T00795,2025-05-23,1,Coffee
T00796,2025-01-13,3,"Bananas, Rice, Tea"
T00797,2025-05-10,1,Bananas
T00798,2025-02-10,3,"Soda, Tea, Tomato Sauce"
T00799,2025-04-23,5,"Bread, Butter, Cereal, Milk, Yogurt"
T00800,2025-04-20,1,Wine
T00801,2025-01-08,2,"Bread, Milk"
T00802,2025-04-22,1,Milk
T00803,2025-05-28,1,Soda
T00804,2025-06-24,2,"Apples, Cheese"
T00805,2025-05-16,5,"Baby Wipes, Coffee, Diapers, Milk, Sugar"
T00806,2025-03-19,1,Tomatoes
T00807,2025-02-02,3,"Apples, Beer, Tomatoes"
T00808,2025-02-10,1,Tomatoes
T00809,2025-03-19,2,"Bananas, Soda"
T00810,2025-05-10,1,Milk
T00811,2025-04-25,2,"Bread, Butter"
T00812,2025-06-10,4,"Bananas, Cereal, Milk, Rice"
T00813,2025-03-05,1,Soda
T00814,2025-04-03,2,"Butter, Coffee"
T00815,2025-02-24,2,"Chips, Soda"
T00816,2025-05-30,1,Wine
T00817,2025-04-17,4,"Baby Wipes, Coffee, Soda, Sugar"
T00818,2025-01-09,3,"Chips, Soda, Tomatoes"
T00819,2025-05-14,4,"Bread, Chips, Salsa, Soda"
T00820,2025-03-20,6,"Beer, Chips, Parmesan, Pasta, Tomato Sauce, Yogurt"
T00821,2025-02-05,3,"Milk, Rice, Tea"
T00822,2025-04-10,3,"Baby Wipes, Beer, Diapers"
T00823,2025-02-12,2,"Apples, Lettuce"
T00824,2025-02-19,3,"Lettuce, Milk, Tomatoes"
T00825,2025-01-05,2,"Bread, Tomatoes"
T00826,2025-05-29,1,Tomatoes
T00827,2025-01-12,4,"Bread, Butter, Jam, Milk"
T00828,2025-03-15,2,"Chicken Breast, Lettuce"
T00829,2025-03-25,1,Milk
T00830,2025-04-16,6,"Baby Wipes, Bananas, Beer, Chicken Breast, Diapers, Lettuce"
T00831,2025-01-08,2,"Bananas, Cereal"
T00832,2025-05-23,3,"Apples, Coffee, Milk"
T00833,2025-05-19,4,"Cereal, Cheese, Tomatoes, Wine"
T00834,2025-05-04,1,Chicken Breast
T00835,2025-05-30,3,"Apples, Chips, Milk"
T00836,2025-02-01,3,"Chicken Breast, Lettuce, Tomatoes"
T00837,2025-06-12,2,"Sugar, Tea"
T00838,2025-03-26,2,"Coffee, Milk"
T00839,2025-04-16,3,"Baby Wipes, Diapers, Yogurt"
T00840,2025-06-21,1,Bananas
T00841,2025-06-03,2,"Pasta, Tomato Sauce"
T00842,2025-02-26,4,"Chicken Breast, Chips, Garlic, Salsa"
T00843,2025-06-05,2,"Beer, Sugar"
T00844,2025-05-22,1,Lettuce
T00845,2025-02-14,2,"Coffee, Milk"
T00846,2025-03-12,2,"Bread, Chips"
T00847,2025-04-20,2,"Cheese, Milk"
T00848,2025-06-24,4,"Chips, Salsa, Soda, Yogurt"
T00849,2025-04-11,1,Eggs
T00850,2025-02-27,7,"Bananas, Cereal, Cheese, Eggs, Ground Beef, Milk, Wine"
T00851,2025-03-29,2,"Cheese, Soda"
T00852,2025-06-08,1,Bananas
T00853,2025-01-22,3,"Cheese, Diapers, Milk"
T00854,2025-06-06,2,"Bananas, Eggs"
T00855,2025-04-08,1,Rice
T00856,2025-06-03,3,"Bread, Butter, Rice"
T00857,2025-01-07,1,Cheese
T00858,2025-01-04,2,"Eggs, Lettuce"
T00859,2025-06-13,6,"Cheese, Chips, Eggs, Parmesan, Salsa, Wine"
T00860,2025-02-07,1,Apples
T00861,2025-01-03,3,"Coffee, Milk, Sugar"
T00862,2025-06-13,3,"Beer, Cheese, Eggs"
T00863,2025-03-27,2,"Cheese, Wine"
T00864,2025-01-01,4,"Bananas, Cereal, Milk, Tea"
T00865,2025-04-03,4,"Cereal, Chips, Salsa, Soda"
T00866,2025-02-20,4,"Garlic, Parmesan, Pasta, Tomato Sauce"
T00867,2025-01-26,3,"Coffee, Sugar, Yogurt"
T00868,2025-04-06,4,"Parmesan, Soda, Wine, Yogurt"
T00869,2025-03-23,2,"Cereal, Milk"
T00870,2025-03-05,1,Chicken Breast
T00871,2025-02-23,3,"Eggs, Parmesan, Yogurt"
T00872,2025-05-08,2,"Cheese, Pasta"
T00873,2025-06-13,5,"Beer, Chips, Lettuce, Milk, Salsa"
T00874,2025-04-06,2,"Eggs, Jam"
T00875,2025-02-28,2,"Soda, Tea"
T00876,2025-03-23,3,"Bread, Butter, Jam"
T00877,2025-06-14,3,"Butter, Chicken Breast, Lettuce"
T00878,2025-03-06,2,"Chicken Breast, Rice"
T00879,2025-03-08,2,"Apples, Tomato Sauce"
T00880,2025-04-14,2,"Bread, Yogurt"
T00881,2025-02-23,1,Soda
T00882,2025-04-30,3,"Apples, Cheese, Tea"
T00883,2025-05-23,2,"Coffee, Milk"
T00884,2025-04-01,2,"Cheese, Wine"
T00885,2025-05-31,1,Milk
T00886,2025-03-26,2,"Lettuce, Rice"
T00887,2025-04-11,3,"Baby Wipes, Beer, Diapers"
T00888,2025-01-27,4,"Garlic, Milk, Pasta, Yogurt"
T00889,2025-01-18,3,"Chips, Salsa, Soda"
T00890,2025-05-18,1,Eggs
T00891,2025-02-22,2,"Beer, Chips"
T00892,2025-03-21,5,"Jam, Milk, Soda, Sugar, Tea"
T00893,2025-05-06,2,"Jam, Lettuce"
T00894,2025-04-27,1,Apples
T00895,2025-02-14,1,Pasta
T00896,2025-05-26,2,"Chicken Breast, Milk"
T00897,2025-05-18,1,Eggs
T00898,2025-02-25,5,"Apples, Bananas, Parmesan, Tomatoes, Wine"
T00899,2025-01-07,2,"Sugar, Tea"
T00900,2025-01-30,2,"Cheese, Coffee"
T00901,2025-04-23,3,"Chicken Breast, Lettuce, Milk"
T00902,2025-02-13,3,"Bread, Butter, Jam"
T00903,2025-01-13,2,"Bananas, Soda"
T00904,2025-01-02,1,Diapers
T00905,2025-01-24,3,"Bread, Jam, Milk"
T00906,2025-06-20,2,"Pasta, Tomato Sauce"
T00907,2025-05-19,3,"Cheese, Parmesan, Wine"
T00908,2025-04-10,2,"Cereal, Milk"
T00909,2025-02-25,1,Rice
T00910,2025-05-18,4,"Lettuce, Parmesan, Pasta, Tomato Sauce"
T00911,2025-02-14,3,"Bread, Cheese, Yogurt"
T00912,2025-06-13,2,"Lettuce, Soda"
T00913,2025-02-01,2,"Tomato Sauce, Wine"
T00914,2025-04-07,2,"Bananas, Milk"
T00915,2025-03-26,1,Cheese
T00916,2025-05-14,3,"Apples, Parmesan, Wine"
T00917,2025-06-20,5,"Baby Wipes, Cereal, Diapers, Milk, Soda"
T00918,2025-05-21,6,"Bananas, Beer, Cereal, Chips, Ground Beef, Milk"
T00919,2025-05-04,3,"Chips, Salsa, Soda"
T00920,2025-05-04,3,"Baby Wipes, Beer, Diapers"
T00921,2025-02-14,3,"Milk, Sugar, Tea"
T00922,2025-02-20,2,"Beer, Chips"
T00923,2025-04-17,5,"Baby Wipes, Chips, Diapers, Salsa, Yogurt"
T00924,2025-03-31,2,"Chips, Yogurt"
T00925,2025-01-09,7,"Apples, Bread, Butter, Chips, Coffee, Milk, Salsa"
T00926,2025-04-19,2,"Cheese, Wine"
T00927,2025-03-20,2,"Bananas, Eggs"
T00928,2025-02-06,2,"Beer, Salsa"
T00929,2025-01-01,2,"Cheese, Wine"
T00930,2025-02-04,4,"Cereal, Parmesan, Pasta, Tomato Sauce"
T00931,2025-04-15,2,"Rice, Wine"
T00932,2025-04-07,1,Eggs
T00933,2025-05-03,2,"Bananas, Sugar"
T00934,2025-05-30,3,"Bananas, Lettuce, Milk"
T00935,2025-03-10,3,"Cheese, Wine, Yogurt"
T00936,2025-04-13,1,Milk
T00937,2025-01-26,3,"Baby Wipes, Diapers, Soda"
T00938,2025-03-05,1,Rice
T00939,2025-05-12,2,"Beer, Chips"
T00940,2025-01-12,4,"Cereal, Cheese, Milk, Tea"
T00941,2025-01-26,2,"Apples, Beer"
T00942,2025-01-09,1,Eggs
T00943,2025-05-21,5,"Milk, Pasta, Rice, Sugar, Tea"
T00944,2025-03-25,4,"Cereal, Chicken Breast, Milk, Rice"
T00945,2025-02-27,3,"Cheese, Eggs, Rice"
T00946,2025-06-14,6,"Bananas, Cereal, Cheese, Milk, Parmesan, Wine"
T00947,2025-05-28,2,"Apples, Milk"
T00948,2025-04-19,2,"Chips, Diapers"
T00949,2025-04-12,3,"Coffee, Sugar, Tea"
T00950,2025-02-07,2,"Cheese, Milk"
T00951,2025-05-27,2,"Beer, Chips"
T00952,2025-02-23,2,"Cereal, Milk"
T00953,2025-06-18,8,"Bread, Butter, Jam, Milk, Parmesan, Pasta, Tomato Sauce, Tomatoes"
T00954,2025-01-14,2,"Apples, Tea"
T00955,2025-02-23,2,"Beer, Salsa"
T00956,2025-02-07,3,"Parmesan, Tomato Sauce, Wine"
T00957,2025-05-12,2,"Lettuce, Wine"
T00958,2025-05-06,1,Rice
T00959,2025-04-07,3,"Eggs, Tea, Wine"
T00960,2025-02-01,2,"Salsa, Soda"
T00961,2025-03-12,3,"Bananas, Garlic, Lettuce"
T00962,2025-02-02,1,Eggs
T00963,2025-05-18,2,"Bread, Butter"
T00964,2025-05-18,3,"Bananas, Beer, Soda"
T00965,2025-03-22,2,"Coffee, Sugar"
T00966,2025-02-01,3,"Chips, Salsa, Tomatoes"
T00967,2025-03-17,2,"Coffee, Tea"
T00968,2025-01-26,3,"Bananas, Cereal, Milk"
T00969,2025-06-01,2,"Coffee, Milk"
T00970,2025-02-11,1,Eggs
T00971,2025-06-27,2,"Beer, Chips"
T00972,2025-04-06,4,"Parmesan, Pasta, Soda, Tomato Sauce"
T00973,2025-01-29,4,"Cheese, Eggs, Parmesan, Wine"
T00974,2025-01-26,3,"Bananas, Cereal, Milk"
T00975,2025-05-06,1,Chips
T00976,2025-01-13,2,"Baby Wipes, Diapers"
T00977,2025-04-14,2,"Coffee, Sugar"
T00978,2025-05-26,3,"Chips, Milk, Soda"
T00979,2025-04-30,4,"Cheese, Chicken Breast, Lettuce, Wine"
T00980,2025-06-12,2,"Bananas, Cereal"
T00981,2025-01-03,4,"Coffee, Soda, Sugar, Wine"
T00982,2025-04-19,2,"Cereal, Chips"
T00983,2025-04-25,5,"Cereal, Milk, Pasta, Soda, Tomato Sauce"
T00984,2025-01-31,2,"Cereal, Yogurt"
T00985,2025-04-11,1,Apples
T00986,2025-05-12,3,"Bread, Milk, Tea"
T00987,2025-01-02,4,"Beer, Parmesan, Pasta, Tomato Sauce"
T00988,2025-02-09,5,"Bananas, Cereal, Chicken Breast, Milk, Rice"
T00989,2025-04-22,4,"Beer, Chips, Ground Beef, Salsa"
T00990,2025-05-03,5,"Bananas, Cheese, Chicken Breast, Lettuce, Wine"
T00991,2025-02-03,1,Bananas
T00992,2025-03-30,3,"Bananas, Cereal, Milk"
T00993,2025-05-05,3,"Cheese, Parmesan, Wine"
T00994,2025-06-29,2,"Cheese, Wine"
T00995,2025-02-16,1,Lettuce
T00996,2025-01-31,2,"Cereal, Milk"
